Body,Class
john keells hotel plc khl saw revenue momentum losing maldivian sri lankan resort sector june quarter q reflecting impact covid third wave resulting restriction travel leisure activity group expects pentup demand travel tourism travel restriction removed khl operates portfolio luxury resort sri lanka maldives cinnamon hotel resort brand group reported revenue r billion quarter review compared r million year earlier period travel leisure activity came grinding halt prolonged period corresponding quarter however june top line marked sizeable decline revenue generated previous quarter ended march recorded r billion maldivian tourism sector fast recovering sri lankan resort increasingly patronised domestic traveller began taking trip almost year shelteringinplace reopening border international air travel little helped first half arrival foreign visitor slower expected maldivian resort sector witnessed level moderation term visitor fresh outbreak virus india india one key tourism source market maldives resort maldives operate whilst adhering regulation issued authority khl said note interim financial statement result revenue form sri lankan resort sector declined r million june quarter compared r million march quarter revenue maldivian resort fell r billion r billion march quarter however group expects pentup demand travel tourism travel restriction removedmeanwhile refurbishing hikka tranz cinnamon construction cinnamon red kandy expected recommence q h respectively group expects make cinnamon bentota beach reopening border closure prevented realising full potential time,business
established february vision provide client innovative customised solution corporate finance power capital mpc celebrates seven year success growth founded group experienced executive operational expertise unique blend skill various field multidisciplinary team equipped tool analytics best serve client financial goal one company early success acting financial advisor midmarket apparel manufacturer sri lanka helping acquire sri lankan operation valued lkr million celebrate success past year look forward continuously providing client innovative practical financial support helping navigate business challenge minimise risk say naveen samarasekera ceo power capital security mpc introduced corporate debt structuring portfolio service may successfully mobilised lkr billion asset backed securitisations corporate debt instrument period month recently mpc formulated threeyear strategic plan merger two large finance company sri lanka last year response market demand mpc established minato power capital ltd tokyo based operation among thing bring much needed fdi sri lanka power capital security limited debt finance investment advisory arm mpc recently completed firstever rated asset backed securitisation raising lkr billion commercial leasing finance company plc,business
shareholder certificate listed company important document every single shareholder posse event delisting company cse could used proof recover fund invested stock head marketing cse niroshan wijesundara told island financial review recently event delisting company share certificate investor two option ie either offer existing share company recover money sell another outside party recover money wijesundera said said three company namely adam investment ceylon foreign trader adam capital applied delisting therefore investor could either one two option would considered private transfer would nothing cse wijesundera said island financial review spoke backdrop adam investment plc one oldest listed company cse applied delist company along two company namely ceylon foreign trader adam capital belongs entity shareholder upset would happen fund invested via stock exchange event removed delisting cse list according shareholder new management came onward company never publishedissued received single annual report quarterly report mandatory every listed company cse publish result company last annual general meeting held development company warned cse therefore company applied move cse still pending decision investor said company hold share privately held company operating various industry apparel metal network communication automobile quoted equity share cse minority shareholder john abeydeera told island financial review invested r four million onwards company published single annual report quarterly result chairman dr ali asger shabbir gulamhusein promised put company order far nothing materialised said another shareholder jsm rauff said bought share could valued r two million since company mismanaged board director management stuck trading happening stock market said island financial review tried contact chairman ali asger shabbir gulamhusein respond query status quo company company secretary dilusha gamage said already left company couldnt comment anything company former director company dr larry adam said couldnt comment company left many year ago,business
altair iconic building colombo sri lanka designed celebrity architect moshe safdie based boston usa moshe safdie designed many famous iconic structure including famous marina bay sand sky garden singapore altair league iconic building world burj khalifa petronas tower marina bay sand shanghai tower parc tower seoul south korea icc building bank china tower hong kong name project altair launched south city group colombo year due construction related complication force majeure reason unfortunate ownership related dispute project delayed however south city group expressed much pleasure group back helm real estate project control importantly project progressing well ready handing next month spokesperson south city stated getting utmost support cooperation government sri lanka completing project president gotabaya rajapaksa appointed mr sirinimal perera special authorised officer steer project towards successful completion south city group also receiving steadfast backing esteemed customer project track deliver promised since inception rich experience south city management huge knowledge bank able soon create another landmark sri lanka one top landmark world altair architectural marvel consists two vertical tower block one straight tower another stepped tower slope leaning straight tower project prime area colombo facing beira lake well indian ocean finish project high calibre italian marble wooden flooring central airconditioning hot water supply super luxurious sanitary fixture additionally resident club fifth level garden around rd level swimming pool recreational facility apartment booked crme de la crme sri lankas social fabric hni noteworthy number overseas resident sri lankan diaspora notably altair biggest fdi investment colombo real estate date altair symbol successful foreign investment showpiece sri lankan government attract investment sri lanka,business
icl brand eva lived promise leading confidence partnering national olympic committee sri lanka nocsl official cheering partner team sri lanka tokyo olympics brand initiated massive communication campaign centered around official cheering song drive sri lankans rally around team sri lanka support athlete bear pride nation tokyo launch official cheering song took place capital maharaja group head office participation sri lankas olympic silver medalist susanthika jaysinghe nocsl woman committee chairperson niloo jayatilake nocsls executive committee board member fazil hussain chethika rajapaksha marketing manager icl brand amidst guest graced occasion sunil kanojia group ceo cmg shanthi bhagirathan group director icl brand rakesh khoslaceo icl brand others event live streamed via multiple social medium platform simultaneously reaching wide audience kicking cheering campaign officially evas campaign cheer team sri lanka continue throughout period tokyo olympics multiple medium platform susanthika jayasinghe graced occasion chief guest praised initiative extremely happy see brand highest caliber eva coming forward support sri lankan athlete olympics athlete represented sri lanka olympic stage know much mean athlete tokyo right,business
seylan bank bank heart received massive public support responsibleme campaign conceptualized highlight importance selfawareness individual responsibility ensuring safety sri lankan citizen covid pandemic campaign began internally nearly two month ago since amplified social medium discussed subject matter expert public forum medium even battle new variant coronavirus noncompliance general public adhering health guideline one main reason attributed continued rise covid case country responsibleme campaign way bring awareness need individual responsibility responding pandemic promise take personal responsibility one action ensure prevention spread vital mindset change difficult necessary challenging time social discipline empathy proactive attitude personal responsibility abiding public health guideline need hour small commitment promise powerful positive impact future country said gamika de silva assistant general manager marketing sale seylan bank responsibleme initiative,business
reiterating commitment social environmental economic sustainability dialog axiata plcs environmental management system certified globally recognized iso standard full scope operation becoming first quadplay telco mobile fixed medium broadband south asia iso standard voluntary international certification afforded company meaningful environmental policy create maintain effective environmental management system em across organization reviewed audited annually retain rigorous focus topic like iso standard standard reviewed updated periodically international panel expert sustainability integral element dialog corporate ethos year reflecting profound impression dialog brand made heart mind sri lankans loved telecommunication brand maximised value creation across business mitigating eliminating negative impact operation effort actualise greener future effort also align dialog founding role global compact network ceylon local chapter united nation global compact biodiversity sri lanka network sri lankan business committed preserving country rich biodiversity dialog successfully completed independent assessment em certified standard dnv gl accredited rva netherlands dialog certified th june certification valid period year surveillance audit conducted periodically validate company continuous compliance certification denotes dialog robust environmental governance mechanism place furthering sustainability journey includes revamping existing policy process waste management setting environmental objective implementing alternative ecofriendly process throughout value chain creating largescale awareness environmental impact shifting toward sustainabilityoriented workplace culture light dialog axiatas achievement rohitha wickramasinghe dnv gl pvt ltd certification assurance provider commented delighted facilitated dialog axiatas effort obtain iso certification considering life cyclebased approach environment protection key focus sustainability performance prevention pollution era environment management sustainability utmost importance carrying certification significantly benefit dialog axiata well stakeholder commenting recognition group chief executive dialog axiata plc supun weerasinghe stated part dialog axiatas sustainability journey seek understand mitigate even eliminate harmful impact environment identifying opportunity create value company stakeholder iso certification boost measurement monitoring reporting dialog environmental performance going forward also provides framework reduce negative impact environment upholds legal regulatory obligation work together one team towards sustainable greener future,business
sri lankas pioneer automotive sale service associated motorway pvt ltd recently announced amw certified vehicle initiative preowned vehicle taken lead since launch april coinciding recent ban motor vehicle import amw certified established market leader preowned vehicle market customer island wide company claimed entry unregulated preowned vehicle market dominated broker propelled certain positive change greater transparency customer naturally gravitating towards established player amw premium quality product assurance safety amw certified facilitates swift streamlined experience buying selling preowned vehicle ofall brand addition core brand nissan suzuki datsun renault company year experience expertise amw purchase customer vehicle immediately payment guarantee within hour vehicle backed amw technical certification warranty year mileage kilometer another first preowned vehicle sri lanka commenting initiative virann de zoysa general manager suzuki automall certified vehicle associated motorway private limited opined identified niche delivered groundbreaking product satisfy customer appetite trying time ventured dealing preowned vehicle encouraging note many agent distributor also entered segment provide superior value customer preowned vehicle arena ultimately benefit potential buyer seller organization amw particular transparency quality trust component gravely lacking unregulated preowned car market vehicle carrying amw certification cleared unscrupulous mileage meddling fraudulent activity embedded preowned market due lack regulatory framework according de zoysa keeping amws commitment countering fraudulence preowned vehicle market consumer affair authority immediately alerted incident mileage tampering unscrupulous activity detected inspection quality certification preowned vehicle de zoysa noted automobile industry shown commendable agility resilience backtoback calamity easter attack april followed global pandemic compelling economy slow challenge facing industry present import ban barrage misinformation seller buyer navigate rumor give buyer false hope furthers uncertainty market apart odometer manipulation zoysa also warned prospective buyer fraudulent activity pertaining preowned vehicle market selling stolen rented vehicle processing forged document order navigate issue save money time advised customer always seek service reputed authorized agent subjected monitoring regulation relevant authority quality service rendered information amw certified service could obtained wide network dealer situated throughout sri lanka service offer host benefit buyer seller alike including lower processing time assurance quality aftercare authorized agent amw equipped bestinclass sale service carried welltrained technician follow manufacturer guideline use authentic spare part repair,business
cse activity witnessed selling pressure throughout yesterday due fear wide spread covid delta variant throughout country market picked despite government completing groundwork towards settlement u billion worth international sovereign bond isb matured yesterday stock market analyst said market somewhat worried government opted go another lockdown event spreading covid new variant would mainly affect tourism major sector country result market expressed negative sentiment market analyst said cse turned negative indiceswise investor activity remained high r billion turnover realized without single crossing foreign selling visible yesterday net foreign outflow hit r billion last two three session r billion net foreign selling reported analyst said exit lf ruffer pacific emerging market fund asiri holding plc accounted bulk foreign selling previous day asiri hospital holding saw r million share traded r billion share price closed r cent monday index moved downwards share price index point p sl declined point turnover stood r billion retail market front five company mainly contributed turnover expolanka r million million share traded dipped product r million million share traded lolc r million share traded royal ceramic r million million share traded brown investment r million million share traded people leasing announced debenture issue raise r billion debenture issue four type two three year tenure balance two five year tenure day million share volume changed hand transaction,business
situation country short foreign reserve tea industry likely contribute u million extra revenue country despite current chemical fertilizer restriction chairman tea small holding development authority dr thushara priyadarshana said tea industry help sri lanka economy earn percent foreign exchange earning u billion increase percent production year could expect another u million additional revenue country priyadarshana told island financial review priyadarshana added tea industry composed two main subsectors corporate subsector large plantation company tea smallholding small holdersholdings grow tea perch acre comprise smallholding spanning acre including upcountry contributing percent country total annual production last year total tea production million metric ton year would likely go million metric ton increase another percent production could earn another additional revenue percent year compared last year covid pandemic situation also helped retain labour force within industry turn prevented exodus labour sector government banned importing refuse tea also helped sector significant manner present ample fertilizer stock season next year onwards shifting organic fertilizer cut chemical fertilizer country order produce organic tea high demand international market smallholder spread district region smallholder sector recorded million dependent factory owner emerged major force tea production state minister company estate reform tea estate related crop taken many step provide million additional plant farmer subsidized nursery islandwide addition million plant provided private nursery owner cultivation subsidy incentive provided maintain continuous extension service development technical management knowledge improve sector,business
sri lanka plan repay u billion bond keeping intact reputation honouring repayment debt concern mount country overseas financing authority transfer required fund monday state minister money capital market state enterprise reform ajith nivard cabraal said moody investor service placed sri lankas rating review downgrade last week citing assessment country increasingly fragile external liquidity position risk default however central bank move allowing local commercial bank invest international sovereign bond would enable country recover u million u one billion would lower short term foreign currency requirement thus enabling stock market investor attractive investment future market analyst said amid development cse reflected positive trend beginning yesterday later declined witnessing profit taking consequently index moved downwards share price index went point p sl declined point turnover stood r billion six crossing crossing reported asiri hospital holding crossed million share tune r billion share traded r ctc holding million share crossed r million share traded r lanka milk food million share crossed r million share fetched r alumax million share crossed r million share traded r central finance share crossed r million share traded r expolanka share crossed r million share traded r retail market top five company mainly contributed turnover expolanka r million million share traded dipped product r million million share traded lolc holding r million share traded royal ceramic r million million share traded brown investment r million million share traded day million share volume changed hand transaction,business
nation trust bank plc announced successful oversubscription unlisted debenture prior opening aggregating lkr bn application structured managed placed internallythe bank planned raise lkr bn issue million unlisted rated unsecured senior redeemable debenture par value lkr approved security exchange commission sri lanka announced june issue structured nation trust bank structured finance unit management placement done bank treasury unit bank option issue million debenture valued lkr billion event oversubscription initial issue succeeded exceedingthe initial offer value lkr bn commenting oversubscription debenture issue nation trust bank chief executive officer director priyantha talwatte stated unlisted debenture issue success testament investor confidence nation trust bank financial stability capability one key objective issue utilize provided mediumterm stable funding towards expansion bank lending portfolio hope fund would reduce tenor mismatch shorterterm liability mediumterm asset andoverall strengthen bank funding profile issue bank offered two type debenture type fiveyear tenurewith fixed rate per annum interest paid semiannually type b fiveyear tenurewith fixed interest rate payable annually nation trust bank plc among top business establishment sri lanka ranked business today stemming vision helping people business providing financial service information achieve goal aspiration sustainable way bank serf diverse range customer across individual corporate enviable portfolio banking financial product service strongly focused digital empowerment cuttingedge digital banking technology bank pioneer many innovative customer centric banking solution extended banking hour frimi sri lankas first digital banking experience,business
commercial bank ceylon recognised strongest bank brand country brand finance one world leading independent brand valuation consultancy commercial bank also named strongest banking brand ranking make second consecutive year bank prestigious accolade speaks strength brand largest private bank country celebrated th anniversary past year gave many business opportunity prove substance behind brand faced challenge pandemic commercial bank managing director mr renganathan said delighted proven strategic brand building effort coupled consistent performance earned u prestigious title brand building process meticulously thought involves management staff level focused ethical sustainable brand building accolade encouragement combank team commercial bank brand secured overall third pace ranking strongest brand across sector country brand finance computes value brand listed colombo stock exchange using method based royalty relief approach brand valuation method used company globally every year put world biggest brand test rank brand across sector country publishes nearly report sevenstep process arriving brand value encompasses calculating brand strength using balanced scorecard metric assessing stakeholder equity business performance determining royalty range industry reflecting importance brand purchasing decision calculating royalty rate determining brandspecific revenue estimating proportion parent company revenue attributable brand determining forecast revenue application royalty rate forecast revenue derive brand revenue discounting brand revenue posttax net present value equal brand value considered one world leading independent brand evaluation rating firm brand finance plc headquartered london network office around world brand finance ranking sri lanka published annually lmd one active vibrant brand sri lanka commercial bank brand building effort maintain healthy balance corporate product communication ground level customer engagement event addition traditional medium bank highly active social digital medium customer engagement event national regional level bank strong customer base cover segment society encompasses socio economic group spread across sri lanka bank stated place heavy emphasis strategy formulating marketing plan brand building activity commercial bank maintains constant watch brand performance measure qualitatively quantitatively parameter brand equity top mind recall periodically monitored research key takeout considered marketing campaign planned strategic approach helped brand evolve year become one strongest brand country,business
leading textile manufacturer hayleys fabric reduced carbon footprint installation largest private sector rooftop solar power system sri lanka contributing kwh power per annum national grid installed sister company hayleys fentons rooftop solar project set hayleys fabric primary manufacturing facility horana part broader campaign reduce carbon emission align un sustainable development goal environmental sustainability core consideration hayleys fabric demonstrated multipronged approach environment supporting biodiversity conservation reforestation initiative organic farming optimising resource utilising sustainable raw material manufacturing process installation sri lankas largest rooftop solar project largest manufacturing facility bold testament commitment ensuring rapid evolution business model towards total environmental sustainability winwin situation stakeholder also improves profitability use previously idle space provides u opportunity contribute clean green energy sri lankans hayleys fabric managing director ceo rohan goonetilleke said,business
srilankan airline explored business opportunity keep airline afloat backdrop dramatic global drop demand passenger air transport srilankan airline chairman ashok pathirage said issuing press statement yesterday globally airline industry experienced decrease capacity approximately due covid pandemic containment measure place srilankan airline experienced revenue reduction financial year compared year state following excerpt srilankan airline chairman statement introduced several measure ensure every function business remain fully operational grab every business opportunity new variant emerge carefully monitoring situation constantly reassess strategic plan adjust accordingly despite ongoing border restriction airport closure continued fulfill obligation national carrier sustaining global trade repatriating stranded sri lankans passenger repatriated flight april march april june passenger repatriated using scheduled flight also adapted meet increased demand transportation air cargo resulting suspension flight sri lanka carrier resuming flight russian capital moscow july weekly scheduled flight bia moscow domodedovo airport using airbus configured economy business class seat facilitate travel impetus building closer bilateral business connection two country despite massive impact global tourism airline opted strategically steer cargo operation existing fleet sufficient cater cargo operation limited passenger operation widebody fleet used prominently cargo operation majority narrowbody fleet kept grounded due lack utilization passenger service expansion cargo operation strategically reduced adverse effect passenger travel present schedule consists network optimizing passenger cargo contribution destination new destination present schedule include sydney incheon nairobi frankfurt moscow commence end july uplifted capacity allocated local export ensure continuous foreign currency inflow sri lanka hope strengthening domestic export segment srilankan airline operated scheduled flight cargo charter nonscheduled operation uplifting personal protection equipment ppe essential good connecting far east africa indian subcontinent europe middle east since onset covid pandemic april june cargo flight carrying tonnage kg supporting national economy managed bring cash burnout substantially approximately renegotiating aircraft lease contract achieve lease rent reduction deferral employeerelated cost saving implementing voluntary retirement scheme vrs restructuring organization make leaner cross utilized existing cadre job amalgamation ceasing external recruitment operationally critical vacancy reviewing unproductive policy practice however cash burn forecasted continue least end year expect continued severe revenue loss aviation industry taken many step precautionary measure ensure safety passenger flying u effort recognised airline passenger experience association apex diamond rating pride airline receive rating south asia expect many country open border air travel end year enabling u recommence commercial passenger operation begin journey towards recovery constantly reassess plan based evolving nature crisis appropriate adjustment future srilankan airline lie rebounding passenger travel numeric caliber periodic target contingent international air travel restored say ashok pathirage,business
coconut small scale sri lankan startup recently unveiled first product readytouse freshly grated coconut considering cooking need modern household coconut freshly grated coconut come handy g package point procuring required coconut point delivering freshly grated coconut package consumer doorstep coconut ensures follows thoughtful environmentally friendly procedure bid support struggling business time difficulty coconut carefully purchase required fresh coconut small vendor coconut mechanically grated soon cracked open grating coconut ensures scraped coconut shell mix pure white grated coconut within ten minute grated coconut pack environmentallyfriendly packaging term packaging grated coconut packed sealed kraft paper bag pouch procured housewife make living handcraft paper bag laminated inner layer protect moisture grated coconut keep fresher longer ensure tight packaging coconut us heat sealing packaging addition ziplock already within minute sealed package directed deep freezer f c abiding safety measure moment cracking coconut open storing package freezer coconut team wear protective clothing including glove face mask head cap product readily available purchase ubereats coconut also delivers freshly grated coconut package within colombo city suburb standard quantity product g priced r yet hospitality sector large scale food beverage business export related requirement coconut customises packaging two quantity g kg priced r r respectively consumer order coconut product contacting via whatsapp ubereats visiting facebook page,business
sri lanka insurance hold annual general meeting via zoom online platform th july chairman board director participated meeting respective location adhering covid health safety standard issued health authority annual general meeting declared company closed year positive note recording phenomenal growth exceptional service innovation sri lanka insurance premier insurer nation recorded stellar performance record profit taxation r billion year strong improvement combined gross written premium gwp r billion denoting growth year sri lanka insurance reported growth life insurance premium increasing r billion whilst sri lanka insurance general reported premium growth increasing r billion general insurance contributed towards total gwp whilst life insurance contributed continuing tradition leadership sri lanka insurance surpassed record declare sum r billion bonus policyholder cumulative life insurance bonus paid past year top massive r billion making slic bonus payout unmatchable inclusive insurance like call insurance something consistently reiterated without doubt one best way safeguard quality life every sri lankan insurance help everyone even base economic pyramid majority sri lankans unaware insurance act safety net time crisis provide people business lifeline help recover unforeseen event reestablish livelihood disconcerting lack awareness given rise misconception insurance product privileged task delivering insurance easy feat however year expertise serving sri lankan market convinced slic best equipped lead movement make insurance accessible noted mrjagath wellawatta chairman slic notwithstanding challenging macroeconomic environment largescale disruption due covid outbreak slic delivered excellent performance even outperforming industry many front perception outlook coloured pandemic embarked new strategic planning exercise aimed mapping slics growth trajectory next year eager put plan action advanced first phase agenda undertook broad based restructuring initiative embed greater degree management oversight across general business life business felt pave way slic systematically improve scalability business based specific opportunity market noted mr chandana l aluthgama chief executive officer slic established sri lanka insurance corporation largest governmentowned insurance company sri lanka managed asset base r billion life fund r billion largest local insurance industry sri lanka insurance ranked loved insurance brand valuable general insurance brand country brand finance fourth consecutive year sri lanka insurance recognized great place work sri lanka great place work company mission customer focused company constantly innovates providing insurance service customer serf customer extensive network branch,business
taxperts lanka pvt ltd national ingenuity award award organized sri lanka association software service company slasscom taxperts earlier honored digital social impact award eswabhimani award organized information communication technology agency sri lanka icta well national award national best quality software award nbqsa year organized chartered institute information technology taxperts also nominated asia pacific award taxperts continue win award first sri lankan company launch unique software taxation software introduced taxperts provides eas process taxation software help make tax compliance easy accurate using latest technology taxperts particular make individual comply tax obligation anywhere time support expert system available anyone apptaxpertslk key reason receiving many national award information technology taking initiative use first time sri lanka taxation considered complex subject said damith gangodawilage founder chief compliance officer taxperts veteran many year experience taxation also serf vice president executive council sri lanka institute taxation launched taxperts lanka pvt ltd ready much make real difference field taxation main objective make technological revolution field taxation sri lanka,business
sri lankas largest retail bank hnb plc achieved another important milestone transformation journey securing ranking prestigious uk based banker magazine top world bank fifth consecutive year magazine world premier banking finance resource providing global financial intelligence since banker top world bank ranking set industry benchmark since providing comprehensive intelligence health wealth banking sector past year global local economic network challenged unprecedented intensity environment crisis constrained economic activity impetus strategic response support customer leveraging technology deliver banking product service new innovative efficient way grown even greater proud hnb demonstrated leadership area resilient extremely challenging condition sustainable performance financial strength stability helped u earn place among top world bank fifth consecutive year achievement stand validation team unwavering commitment excellence hnb managing directorceo jonathan alles said notwithstanding challenging macro condition bank continued progress ambitious transformation journey hnbs pivot digitallyenabled product service continued gather momentum bank provided customer convenient comprehensive secure option transact remotely hnb experienced unprecedented growth especially digital payment sector sri lankans switched digital banking channel notably past year bank also supported central bank sri lanka cbsl promote rata purama lanka qr campaign across various location raise awareness encourage public towards cashless payment already linked lanka qr digital payment app hnb solo bank among financial institution telecommunication partner joining effort make cashless qrcode based payment standard mobile phone digital payment countrywide moving towards cashless digitallysavvy sri lanka true partner progress hnb adopted proactive approach providing essential support network retail corporate small medium enterprise sme client negatively impacted covid pandemic moratorium working capital finance moreover finance grassroots revival sri lankan economy bank launched covid relief fund provide working capital loan concessionary interest rate directly bank substantial portfolio sme customer bank also provided grant micro entrepreneur revive business customer centre across country hnb one sri lankas largest technologically innovative bank bank recorded highest capital level best nonperforming loan ratio amongst peer bank end first quarter hnb national rating aa lka fitch rating lanka ltd hnb also declared best retail bank sri lanka th time asian banker award recognition sustainable growth continuous improvement process product service amidst challenging macroeconomic environment bank also ranked among top corporates sri lanka business today among sri lankas top admired company chartered institute management accountant cima international chamber commerce sri lanka iccsl,business
aia insurance last week announced recognized best workplace asia list large category making first time aia sri lanka recognized prestigious international list awarded great place work internationally acclaimed list follows strict criterion acknowledging best best term workplace asia region international recognition follows hot heel aia recognized best workplace great place work sri lanka ninth consecutive year aia inducted great place work hall fame fifth straight year winning award thereby established leading employer sri lanka company news release said apart main recognition best workplace aia sri lanka received many category award great place work institute year also recognised best workplace woman consecutive year added aias ceo nikhil advani said regard u aia employee trust pride towards workplace primary importance end focus ensuring equal opportunity safe environment people enjoy balance personal wellbeing career growth sense community adding value shareholder recognised best workplace nine consecutive year testament right added recognised first time best workplace asia list immense honour u especially amidst current covid pandemic work hard towards enabling high level staff engagement work home ensuring safe working environment staff office award tribute employee making u today aias director hr thushari perera also commented delighted add world class accolade credential continue prioritize employee happiness care development wellbeing winning prestigious award locally internationally reaffirms aias success differentiating great workplace employee established superlative employer choice added challenging year due pandemic yet able successfully carry online employee engagement activity served keep staff excited enthused connected community despite working home completed project planned digital project company totaled learning hour including virtual physical continue give employee freedom empowerment creativity innovation greater ownership improve effectiveness efficiency aspect workplace resulting better product process high quality service customer despite challenge safe say aia continues thrive employee heart success,business
ceylinco life placed another green pin branch map opening latest ecofriendly branch piliyandala purposedesigned building constructed environmentfriendly specification adopted new branch companyowned land intended reduce company carbon footprint improving customer employee experience latest branch located horana road piliyandala three floor provide square foot space investment r million piliyandala branch completed month designed optimal use natural light powered entirely kw solar power system result zero consumption electricity national grid wastewater recycling system also equipped latest energyefficient artificial lighting air conditioning system rainwater harvesting facility us minimum amount pipeborne water construction designed require minimum quantity timber tree planted premise upon completion building contribute company green agenda building function office ceylinco life branch piliyandala area ample dedicated parking bay visitor designed enhance customer convenience vein branch feature private discussion room ensure customer privacy within premise deliver specialised customer handling process team welltrained experienced employee company said cash deposit machine deployed branch enable deposit policy premium even nonoffice hour holiday ceylinco life protecting life resident piliyandala suburb via dedicated branch since newest branch seventh colombo district operate ceylinco life owned building rd building owned company ceylinco life process constructing another green building branch jaela company currently owns building housing office anuradhapura trincomalee jaffna batticaloa kandy kalutara kurunegala gampaha galle matara tissamaharama negombo ratnapura kotahena mount lavinia wellawatte many already converted solar energy new branch building purposebuilt company sustainable energy model horana panadura wennappuwa bandarawela chilaw kadawatha jaffna malabe divulapitiya negombo piliyandala ceylinco life operates largest network branch sri lankas life insurance industry giving physical presence city town village every one island district ranked valuable life insurance brand sri lanka brand finance voted people life insurance service provider year record th consecutive year ceylinco life sri lankas leading life insurer half year existence company certified great workplace sri lanka great place work named best life insurer sri lanka seventh consecutive year world finance accorded honourable mention one admired company sri lanka international chamber commerce sri lanka iccsl collaboration chartered institute management accountant cima uk ceylinco life close million life covered active policy acknowledged benchmark local insurance sector innovation product research development customer service professional development sustainability corporate social responsibility,business
innovation centre enterprise excellence solution icees global recently partnered toyota engineering corporation tec japan bring world renowned lean management knowledge capability sri lanka enabling individual organization learn pioneer industry icees global initiating first ever toyota production system tps training program lean management sri lanka scheduled august st program conducted sensei tetsuo arikawa former head production support toyota motomichi plant nagoya toyota motor corporation birthplace lean management concept methodology initially known toyota production system tps toyota management system tm founded tec consist professional year handson exposure implementing improving sustaining methodology toyota today tec dedicated spreading expertise across globe icees global partner corporate member tec sri lanka south asian region partnership icees hope bring firsthand lean management knowhows country region globally recognized certification programme lean community icees global training consulting outfit focused providing solution process innovation facilitates numerous manufacturing servicebased organization professional continuously improve productivity profitability lean management six sigma total productive maintenance tpm methodology headed director lapitha gunasinghe asanka henegedara authored sri lankas first lean business novel titled lean peraliya garnered high interest sinhala speaking business community icees global consists dynamic well experienced team lean transformation coach decade collective expertise locally regionally icees actively engages various industry sector airline food beverage agriculture porcelain textile apparel among others objective maximising profitability productivity minimising operating cost whist activating internal team transforming organisational culture achieved highly customized application lean concept fit organization culture business practice due lack understanding concept among business leader many fail realize lean management complete practical solution existing problem year icees global contributed various organization addressing unique business problem concept trained business leader today icees global three strategic arm working towards pioneering transformation good individual enterprise icees lean academy provides globally recognised knowledge skill enterprise excellence process innovation icees business support assist business enterprise excellence journey icees rd dedicated create new knowledge actively keeping fastchanging industry requirement industry please visit wwwiceesglobalcom information,business
acl cable plc recently completed another significant milestone installation fourth acl sax mm kv medium voltage covered conductor electricity transmission project installation took place site close sri lankas largest power station lakvijaya power plant commonly known norochcholai coal power plant ongoing project carried partnership ceylon electricity board ceb fourth installation kind project acl also partnered ensto finland project completed based ensto accessory specification site supervision training provided acl cable first inspection scheduled take three month installation quality check ensure line proper working order ensto international technology company design provides smart reliable electrical solution expertise distribution usage electricity commenting landmark achievement acl cable managing director suren madanayaka said extremely pleased involved national development project number one cable sri lanka always believe contributing towards improving national infrastructure apart core offering aerial bundled cable bare conductor ceb acl sax conductor also uniquely designed developed facilitate purpose electricity distribution added always believed offering product highest standard product emulate unique system approach design perfection opposed production mere medium voltage covered conductor end result instance acl sax also personally witnessed conductor rigorous development process decade since began research development activity also exceeded expected british standard confident series project create successful path acl sax future extremely appreciative ceb ensto faith u supporting project notably three similar project finalized previously part project first installed site tangalle bay length one km acl sax conductor unique medium voltage solution developed minimize challenge faced use bare conductor medium voltage electricity distribution area high density vegetation salty atmosphere initial concept product designed assistance nokia finland based requirement kv distribution line ratmalana product developed branded acl sax today welldesigned product assures higher reliability better durability avoiding frequent failure system differs traditional medium voltage covered conductor since emphasizes line design conductor design use high quality accessory proper installation system approach absolutely essential acl sax perform expectation proper system approach covered conductor kv kv distribution line include use high quality conductor high quality accessory perfect installation acl together ensto inhouse expertise established execute system approach perfection acl sax also recognized value money solution compared fully insulated aerial bundled cable underground cable high price time cumbersome install major benefit acl sax covered conductor reliability power distribution even extreme weather condition ability install narrow tree bunch making ecofriendly safer bare conductor today acl cable market leader market share lkr billion annual revenue group,business
